Time,Source,Destination,Protocol,Length,Info
13.293332000000001,10.218.72.130,54.192.35.107,TCP,54,"13179  >  443 [FIN, ACK] Seq=690 Ack=5715 Win=17152 Len=0"
13.293871,10.218.72.130,54.192.35.107,TCP,66,13188  >  443 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
13.299569,10.218.72.130,54.192.35.107,TCP,54,"13182  >  443 [FIN, ACK] Seq=689 Ack=5715 Win=16128 Len=0"
13.300095,10.218.72.130,54.192.35.107,TCP,66,13189  >  443 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
13.300317999999999,104.31.10.172,10.218.72.130,TCP,568,[TCP segment of a reassembled PDU]
13.300466,10.218.72.130,104.31.10.172,TCP,54,13175  >  80 [ACK] Seq=759 Ack=1069 Win=16384 Len=0
13.303442,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.303447,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.303448999999999,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.303451,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.303453,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.303531,10.218.72.130,54.192.35.107,TCP,54,"13180  >  443 [RST, ACK] Seq=688 Ack=7175 Win=0 Len=0"
13.3066,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.306604,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.306607000000001,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.306607999999999,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.306610000000001,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.306694,10.218.72.130,54.192.35.107,TCP,54,"13177  >  443 [RST, ACK] Seq=684 Ack=7175 Win=0 Len=0"
13.307739000000002,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.307796,10.218.72.130,54.192.35.107,TCP,54,"13182  >  443 [RST, ACK] Seq=690 Ack=7175 Win=0 Len=0"
13.310254999999998,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.310262,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.310264000000002,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.310355,10.218.72.130,54.192.35.107,TCP,54,"13179  >  443 [RST, ACK] Seq=691 Ack=7175 Win=0 Len=0"
13.310502,10.218.72.130,54.192.35.107,TCP,54,"13178  >  443 [RST, ACK] Seq=691 Ack=7175 Win=0 Len=0"
13.310659,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.314272,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.314276999999999,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.314279999999998,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.315594,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.315598000000001,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.3156,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.315601999999998,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.315604,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.31621,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.316216,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.319309,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.319320999999999,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.319325,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.319329000000002,54.192.35.107,10.218.72.130,TCP,1514,[TCP segment of a reassembled PDU]
13.319460999999999,10.218.72.130,54.192.35.107,TCP,54,13181  >  443 [ACK] Seq=685 Ack=13333 Win=17408 Len=0
13.338308999999999,10.218.72.130,54.192.35.107,TCP,54,"13181  >  443 [FIN, ACK] Seq=1038 Ack=13333 Win=17408 Len=0"
13.361219,10.218.72.130,54.192.35.107,TCP,66,13190  >  443 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
13.380263000000001,54.192.35.107,10.218.72.130,TCP,54,"443  >  13177 [FIN, ACK] Seq=13947 Ack=684 Win=31488 Len=0"
13.380267000000002,54.192.35.107,10.218.72.130,TCP,66,"443  >  13186 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=256"
13.380408,10.218.72.130,54.192.35.107,TCP,54,13186  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
13.383310999999999,10.218.72.130,52.8.44.206,TCP,54,"13176  >  443 [FIN, ACK] Seq=730 Ack=5913 Win=17408 Len=0"
13.387037,54.192.35.107,10.218.72.130,TCP,66,"443  >  13187 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=256"
13.387426000000001,10.218.72.130,54.192.35.107,TCP,54,13187  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
13.397322,54.192.35.107,10.218.72.130,TCP,66,"443  >  13188 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=256"
13.397326999999999,54.192.35.107,10.218.72.130,TCP,54,"443  >  13179 [FIN, ACK] Seq=7449 Ack=691 Win=31488 Len=0"
13.397494,10.218.72.130,54.192.35.107,TCP,54,13188  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
13.401664000000002,54.192.35.107,10.218.72.130,TCP,54,"443  >  13182 [FIN, ACK] Seq=9385 Ack=690 Win=31488 Len=0"
13.402616,54.192.35.107,10.218.72.130,TCP,66,"443  >  13189 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=256"
13.402773999999999,10.218.72.130,54.192.35.107,TCP,54,13189  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
13.410965,216.58.204.37,10.218.72.130,TCP,1484,"[TCP Out-Of-Order] 443  >  13184 [PSH, ACK] Seq=7115 Ack=1925 Win=48128 Len=1430"
13.411056,10.218.72.130,216.58.204.37,TCP,66,13184  >  443 [ACK] Seq=1925 Ack=7115 Win=16384 Len=0 SLE=8545 SRE=9975
13.411183,10.218.72.130,216.58.204.37,TCP,66,[TCP Dup ACK 386#1] 13184  >  443 [ACK] Seq=1925 Ack=7115 Win=16384 Len=0 SLE=8545 SRE=11405
